"key","English (en)","Vietnamese (vi)","Status"
"wc.dappName","DApp Name","Tên dApp","translated"
"wc.disconnect","Disconnect","Ngắt kết nối","translated"
"wc.disconnectsOn","Disconnects On","Ngắt kết nối vào","translated"
"wc.domain","Domain","Miền","translated"
"wc.enterUri","Enter WalletConnect URI","Nhập URI WalletConnect","translated"
"wc.estimatedFee","Estimated Fee","Phí ước tính","translated"
"wc.fungibleAmount","Fungible Amount","Số lượng có thể thay thế","translated"
"wc.index","Index","Chỉ mục","stable-term"
"wc.inputs","Inputs ({count})","Đầu vào ({count})","translated"
"wc.invalidLockingBytecode","Invalid locking bytecode","Bytecode khóa không hợp lệ","translated"
"wc.invalidQr","Not a valid WalletConnect URI.","Không phải URI WalletConnect hợp lệ.","translated"
"wc.messageApprovedBody","Approved the WalletConnect message request.","Đã phê duyệt yêu cầu tin nhắn WalletConnect.","translated"
"wc.messageFailedBody","Failed to sign WalletConnect message request.","Không thể ký yêu cầu tin nhắn WalletConnect.","translated"
"wc.messageFailedTitle","WalletConnect message failed","Tin nhắn WalletConnect thất bại","translated"
"wc.messageRejectedBody","Rejected the WalletConnect message request.","Đã từ chối yêu cầu tin nhắn WalletConnect.","translated"
"wc.messageRejectedTitle","WalletConnect message rejected","Đã từ chối tin nhắn WalletConnect","translated"
"wc.messageRejectFailedBody","Failed to reject WalletConnect message request.","Không thể từ chối yêu cầu tin nhắn WalletConnect.","translated"
"wc.messageSignedBody","Approved request from {name}.","Đã phê duyệt yêu cầu từ {name}.","translated"
"wc.messageSignedTitle","WalletConnect message signed","Đã ký tin nhắn WalletConnect","translated"
"wc.messageToSign","Message to Sign","Tin nhắn cần ký","translated"
"wc.nftCapability","NFT Capability","Khả năng NFT","translated"
"wc.nftCommitment","NFT Commitment","Cam kết NFT","translated"
"wc.no","No","Không","translated"
"wc.noActiveSessions","No active WalletConnect sessions yet.","Chưa có phiên WalletConnect đang hoạt động.","translated"
"wc.noQr","No QR code detected. Try again.","Không phát hiện mã QR. Hãy thử lại.","translated"
"wc.noSessions","No active sessions.","Không có phiên đang hoạt động.","translated"
"wc.opReturnOutput","OP_RETURN Output","Đầu ra OP_RETURN","translated"
"wc.outputs","Outputs ({count})","Đầu ra ({count})","translated"
"wc.pairingStarted","WalletConnect pairing started.","Đã bắt đầu ghép nối WalletConnect.","translated"
"wc.pairingSuccessful","WalletConnect pairing successful via QR.","Ghép nối WalletConnect qua QR thành công.","translated"
"wc.prompt","Prompt","Yêu cầu","translated"
"wc.reject","Reject","Từ chối","translated"
"wc.rejectedBody","Rejected the session request from {name}.","Đã từ chối yêu cầu phiên từ {name}.","translated"
"wc.rejectedTitle","WalletConnect session rejected","Đã từ chối phiên WalletConnect","translated"
"wc.rejectionFailedBody","Failed to reject the session request from {name}.","Không thể từ chối yêu cầu phiên từ {name}.","translated"
"wc.rejectionFailedTitle","WalletConnect rejection failed","Từ chối WalletConnect thất bại","translated"
"wc.rejectionSentBody","Sent the rejection response to the dApp.","Đã gửi phản hồi từ chối đến dApp.","translated"
"wc.rejectionStaleBody","The dApp disconnected before the rejection response could be delivered.","dApp đã ngắt kết nối trước khi gửi được phản hồi từ chối.","translated"
"wc.requestExpiredBody","The dApp request expired before it could be completed.","Yêu cầu dApp hết hạn trước khi hoàn tất.","translated"
"wc.requestExpiredTitle","WalletConnect request expired","Yêu cầu WalletConnect đã hết hạn","translated"
"wc.scanFailed","WalletConnect scan failed.","Quét WalletConnect thất bại.","translated"
"wc.scanQr","Scan QR","Quét QR","translated"
"wc.sessionDisconnectedBody","A WalletConnect session was disconnected remotely.","Một phiên WalletConnect đã bị ngắt từ xa.","translated"
"wc.sessionDisconnectedFrom","Disconnected from {name}.","Đã ngắt kết nối khỏi {name}.","translated"
"wc.sessionDisconnectedTitle","WalletConnect session disconnected","Đã ngắt phiên WalletConnect","translated"
"wc.sessionRequestExpiredBody","The WalletConnect session request timed out before approval.","Yêu cầu phiên WalletConnect hết thời gian trước khi được phê duyệt.","translated"
"wc.sessionRequestExpiredTitle","WalletConnect session request expired","Yêu cầu phiên WalletConnect đã hết hạn","translated"
"wc.sessionRequestFrom","Session request from {name}.","Yêu cầu phiên từ {name}.","translated"
"wc.sessionRequestGeneric","A dApp requested a WalletConnect session.","Một dApp yêu cầu phiên WalletConnect.","translated"
"wc.sessionRequestTitle","WalletConnect session request","Yêu cầu phiên WalletConnect","translated"
"wc.settings","Settings","Cài đặt","translated"
"wc.sign","Sign","Ký","translated"
"wc.signMessageRequest","Sign Message Request","Yêu cầu ký tin nhắn","translated"
"wc.signTransactionRequest","Sign Transaction Request","Yêu cầu ký giao dịch","translated"
"wc.tokenCategory","Token Category","Danh mục token","translated"
"wc.totalInput","Total Input","Tổng đầu vào","translated"
"wc.totalOutput","Total Output","Tổng đầu ra","translated"
"wc.transactionApprovedTitle","WalletConnect transaction approved","Đã phê duyệt giao dịch WalletConnect","translated"
"wc.transactionFailedBody","Failed to sign WalletConnect transaction request: {message}","Không thể ký yêu cầu giao dịch WalletConnect: {message}","translated"
"wc.transactionFailedTitle","WalletConnect transaction failed","Giao dịch WalletConnect thất bại","translated"
"wc.transactionRejectedTitle","WalletConnect transaction rejected","Đã từ chối giao dịch WalletConnect","translated"
"wc.transactionRejectionFailedBody","Failed to reject WalletConnect transaction request: {message}","Không thể từ chối yêu cầu giao dịch WalletConnect: {message}","translated"
"wc.transactionResponseSentBody","Sent the WalletConnect transaction response.","Đã gửi phản hồi giao dịch WalletConnect.","translated"
"wc.transactionSentBody","Sent the transaction response to {name}.","Đã gửi phản hồi giao dịch đến {name}.","translated"
"wc.transactionStaleBody","The dApp disconnected before the transaction response could be delivered.","dApp đã ngắt kết nối trước khi có thể gửi phản hồi giao dịch.","translated"
"wc.txid","TXID","TXID","stable-term"
"wc.unknownDapp","Unknown dApp","dApp không xác định","translated"
"wc.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","Yêu cầu này dùng biểu diễn giao dịch không được hỗ trợ trong tích hợp OPTN Wallet hiện tại.","translated"
"wc.validUri","Please provide a valid WalletConnect URI.","Hãy cung cấp URI WalletConnect hợp lệ.","translated"
"wc.waitingForSync","Waiting for sync","Đang chờ đồng bộ","translated"
"wc.waitPrevious","Wait for the previous outgoing transaction to sync first","Chờ giao dịch gửi trước đồng bộ trước","translated"
"wc.working","Working…","Đang xử lý…","translated"
"wc.yes","Yes","Có","translated"
"wizard.activeSessions","Active WizardConnect Sessions","Phiên WizardConnect đang hoạt động","translated"
"wizard.address","Address","Địa chỉ","translated"
"wizard.approve","Approve WizardConnect","Phê duyệt WizardConnect","translated"
"wizard.approved","WizardConnect transaction approved and sent.","Đã phê duyệt và gửi giao dịch WizardConnect.","translated"
"wizard.approveFailed","WizardConnect transaction failed: {message}","Giao dịch WizardConnect thất bại: {message}","translated"
"wizard.broadcast","Broadcast","Phát lên mạng","translated"
"wizard.cancel","Cancel","Hủy","translated"
"wizard.close","Close","Đóng","translated"
"wizard.connect","Connect","Kết nối","translated"
"wizard.connectedOn","Connected On","Đã kết nối vào","translated"
"wizard.connecting","Connecting…","Đang kết nối…","translated"
"wizard.connectionUri","Connection URI","URI kết nối","translated"
"wizard.connectQuestion","Connect this wallet to the following WizardConnect request?","Kết nối ví này với yêu cầu WizardConnect sau đây?","translated"
"wizard.dapp","DApp","dApp","stable-term"
"wizard.disconnect","Disconnect","Ngắt kết nối","translated"
"wizard.enterUri","Enter WizardConnect URI","Nhập URI WizardConnect","translated"
"wizard.errorPrefix","Error: {message}","Lỗi: {message}","translated"
"wizard.estimatedFee","Estimated Fee","Phí ước tính","translated"
"wizard.fungibleAmount","Fungible Amount","Số lượng có thể thay thế","translated"
"wizard.index","Index","Chỉ mục","stable-term"
"wizard.invalidQr","Not a valid WizardConnect QR code.","Không phải QR WizardConnect hợp lệ.","translated"
"wizard.no","No","Không","translated"
"wizard.noActiveSessions","No active WizardConnect sessions yet.","Chưa có phiên WizardConnect đang hoạt động.","translated"
"wizard.noQr","No QR code detected. Try again.","Không phát hiện mã QR. Hãy thử lại.","translated"
"wizard.noWallet","No active wallet is available for WizardConnect.","Không có ví đang hoạt động cho WizardConnect.","translated"
"wizard.opReturnOutput","OP_RETURN Output","Đầu ra OP_RETURN","translated"
"wizard.pairingStarted","WizardConnect pairing started.","Đã bắt đầu ghép nối WizardConnect.","translated"
"wizard.prompt","Prompt","Yêu cầu","translated"
"wizard.rejected","WizardConnect transaction rejected.","Đã từ chối giao dịch WizardConnect.","translated"
"wizard.rejectFailed","WizardConnect rejection failed: {message}","Từ chối WizardConnect thất bại: {message}","translated"
"wizard.scanFailed","WizardConnect scan failed.","Quét WizardConnect thất bại.","translated"
"wizard.sessionDisconnectedOrExpired","A WizardConnect session disconnected or expired on the dApp side.","Một phiên WizardConnect đã bị ngắt hoặc hết hạn ở phía dApp.","translated"
"wizard.settings","Settings","Cài đặt","translated"
"wizard.sign","Sign","Ký","translated"
"wizard.signRequest","WizardConnect Sign Request","Yêu cầu ký WizardConnect","translated"
"wizard.status","Status","Trạng thái","stable-term"
"wizard.tokenCategory","Token Category","Danh mục token","translated"
"wizard.totalInput","Total Input","Tổng đầu vào","translated"
"wizard.totalOutput","Total Output","Tổng đầu ra","translated"
"wizard.txid","TXID","TXID","stable-term"
"wizard.unknownDapp","Unknown dApp","dApp không xác định","translated"
"wizard.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","Yêu cầu này dùng biểu diễn giao dịch không được hỗ trợ trong tích hợp OPTN Wallet hiện tại.","translated"
