"key","English (en)","Arabic (ar)","Status"
"wc.connect","Connect","اتصال","translated"
"wc.connectionUri","Connection URI","URI الاتصال","translated"
"wc.dappName","DApp Name","اسم dApp","translated"
"wc.disconnect","Disconnect","قطع الاتصال","translated"
"wc.disconnectsOn","Disconnects On","ينقطع الاتصال في","translated"
"wc.domain","Domain","النطاق","translated"
"wc.enterUri","Enter WalletConnect URI","أدخل URI الخاص بـ WalletConnect","translated"
"wc.estimatedFee","Estimated Fee","الرسوم المقدرة","translated"
"wc.fungibleAmount","Fungible Amount","كمية الرمز القابل للاستبدال","translated"
"wc.index","Index","الفهرس","stable-term"
"wc.inputs","Inputs ({count})","المدخلات ({count})","translated"
"wc.invalidLockingBytecode","Invalid locking bytecode","رمز قفل غير صالح","translated"
"wc.invalidQr","Not a valid WalletConnect URI.","ليس URI صالحًا لـ WalletConnect.","translated"
"wc.messageApprovedBody","Approved the WalletConnect message request.","تمت الموافقة على طلب رسالة WalletConnect.","translated"
"wc.messageFailedBody","Failed to sign WalletConnect message request.","تعذر توقيع طلب رسالة WalletConnect.","translated"
"wc.messageFailedTitle","WalletConnect message failed","فشلت رسالة WalletConnect","translated"
"wc.messageRejectedBody","Rejected the WalletConnect message request.","تم رفض طلب رسالة WalletConnect.","translated"
"wc.messageRejectedTitle","WalletConnect message rejected","تم رفض رسالة WalletConnect","translated"
"wc.messageRejectFailedBody","Failed to reject WalletConnect message request.","تعذر رفض طلب رسالة WalletConnect.","translated"
"wc.messageSignedBody","Approved request from {name}.","تمت الموافقة على الطلب من {name}.","translated"
"wc.messageSignedTitle","WalletConnect message signed","تم توقيع رسالة WalletConnect","translated"
"wc.messageToSign","Message to Sign","الرسالة المطلوب توقيعها","translated"
"wc.nftCapability","NFT Capability","قدرة NFT","translated"
"wc.nftCommitment","NFT Commitment","التزام NFT","translated"
"wc.no","No","لا","translated"
"wc.noActiveSessions","No active WalletConnect sessions yet.","لا توجد جلسات WalletConnect نشطة بعد.","translated"
"wc.noQr","No QR code detected. Try again.","لم يتم العثور على رمز QR. حاول مرة أخرى.","translated"
"wc.noSessions","No active sessions.","لا توجد جلسات نشطة.","translated"
"wc.opReturnOutput","OP_RETURN Output","مخرج OP_RETURN","translated"
"wc.outputs","Outputs ({count})","المخرجات ({count})","translated"
"wc.pairingStarted","WalletConnect pairing started.","بدأ اقتران WalletConnect.","translated"
"wc.pairingSuccessful","WalletConnect pairing successful via QR.","اكتمل اقتران WalletConnect عبر QR.","translated"
"wc.prompt","Prompt","المطالبة","translated"
"wc.reject","Reject","رفض","translated"
"wc.rejectedBody","Rejected the session request from {name}.","تم رفض طلب الجلسة من {name}.","translated"
"wc.rejectedTitle","WalletConnect session rejected","تم رفض جلسة WalletConnect","translated"
"wc.rejectionFailedBody","Failed to reject the session request from {name}.","تعذر رفض طلب الجلسة من {name}.","translated"
"wc.rejectionFailedTitle","WalletConnect rejection failed","فشل رفض WalletConnect","translated"
"wc.rejectionSentBody","Sent the rejection response to the dApp.","تم إرسال استجابة الرفض إلى dApp.","translated"
"wc.rejectionStaleBody","The dApp disconnected before the rejection response could be delivered.","قطع dApp الاتصال قبل تسليم استجابة الرفض.","translated"
"wc.requestExpiredBody","The dApp request expired before it could be completed.","انتهت صلاحية طلب dApp قبل إكماله.","translated"
"wc.requestExpiredTitle","WalletConnect request expired","انتهت صلاحية طلب WalletConnect","translated"
"wc.scanFailed","WalletConnect scan failed.","فشل مسح WalletConnect.","translated"
"wc.scanQr","Scan QR","مسح QR","translated"
"wc.sessionDisconnectedBody","A WalletConnect session was disconnected remotely.","تم قطع اتصال جلسة WalletConnect عن بُعد.","translated"
"wc.sessionDisconnectedFrom","Disconnected from {name}.","انقطع الاتصال بـ {name}.","translated"
"wc.sessionDisconnectedTitle","WalletConnect session disconnected","انقطع اتصال جلسة WalletConnect","translated"
"wc.sessionRequestExpiredBody","The WalletConnect session request timed out before approval.","انتهت مهلة طلب جلسة WalletConnect قبل الموافقة.","translated"
"wc.sessionRequestExpiredTitle","WalletConnect session request expired","انتهت صلاحية طلب جلسة WalletConnect","translated"
"wc.sessionRequestFrom","Session request from {name}.","طلب جلسة من {name}.","translated"
"wc.sessionRequestGeneric","A dApp requested a WalletConnect session.","طلب أحد تطبيقات dApp جلسة WalletConnect.","translated"
"wc.sessionRequestTitle","WalletConnect session request","طلب جلسة WalletConnect","translated"
"wc.settings","Settings","الإعدادات","translated"
"wc.sign","Sign","توقيع","translated"
"wc.signMessageRequest","Sign Message Request","طلب توقيع رسالة","translated"
"wc.signTransactionRequest","Sign Transaction Request","طلب توقيع معاملة","translated"
"wc.tokenCategory","Token Category","فئة الرمز","translated"
"wc.totalInput","Total Input","إجمالي المدخلات","translated"
"wc.totalOutput","Total Output","إجمالي المخرجات","translated"
"wc.transactionApprovedTitle","WalletConnect transaction approved","تمت الموافقة على معاملة WalletConnect","translated"
"wc.transactionFailedBody","Failed to sign WalletConnect transaction request: {message}","تعذر توقيع طلب معاملة WalletConnect: {message}","translated"
"wc.transactionFailedTitle","WalletConnect transaction failed","فشلت معاملة WalletConnect","translated"
"wc.transactionRejectedTitle","WalletConnect transaction rejected","رُفضت معاملة WalletConnect","translated"
"wc.transactionRejectionFailedBody","Failed to reject WalletConnect transaction request: {message}","تعذر رفض طلب معاملة WalletConnect: {message}","translated"
"wc.transactionResponseSentBody","Sent the WalletConnect transaction response.","تم إرسال استجابة معاملة WalletConnect.","translated"
"wc.transactionSentBody","Sent the transaction response to {name}.","تم إرسال استجابة المعاملة إلى {name}.","translated"
"wc.transactionStaleBody","The dApp disconnected before the transaction response could be delivered.","قطع dApp الاتصال قبل تسليم استجابة المعاملة.","translated"
"wc.txid","TXID","معرّف المعاملة","stable-term"
"wc.unknownDapp","Unknown dApp","dApp غير معروف","translated"
"wc.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","يستخدم هذا الطلب تمثيلًا غير مدعوم للمعاملة في تكامل OPTN Wallet الحالي.","translated"
"wc.validUri","Please provide a valid WalletConnect URI.","أدخل URI صالحًا لـ WalletConnect.","translated"
"wc.waitingForSync","Waiting for sync","في انتظار المزامنة","translated"
"wc.waitPrevious","Wait for the previous outgoing transaction to sync first","انتظر مزامنة المعاملة الصادرة السابقة أولًا","translated"
"wc.working","Working…","جارٍ التنفيذ…","translated"
"wc.yes","Yes","نعم","translated"
"wizard.activeSessions","Active WizardConnect Sessions","جلسات WizardConnect النشطة","translated"
"wizard.address","Address","العنوان","translated"
"wizard.approve","Approve WizardConnect","الموافقة على WizardConnect","translated"
"wizard.approved","WizardConnect transaction approved and sent.","تمت الموافقة على معاملة WizardConnect وإرسالها.","translated"
"wizard.approveFailed","WizardConnect transaction failed: {message}","فشلت معاملة WizardConnect: {message}","translated"
"wizard.broadcast","Broadcast","بث","translated"
"wizard.cancel","Cancel","إلغاء","translated"
"wizard.close","Close","إغلاق","translated"
"wizard.connect","Connect","اتصال","translated"
"wizard.connectedOn","Connected On","تم الاتصال في","translated"
"wizard.connecting","Connecting…","جارٍ الاتصال…","translated"
"wizard.connectionUri","Connection URI","URI الاتصال","translated"
