"key","English (en)","Portuguese (Brazil) (pt-BR)","Status"
"wc.messageRejectedTitle","WalletConnect message rejected","Mensagem do WalletConnect rejeitada","translated"
"wc.messageRejectFailedBody","Failed to reject WalletConnect message request.","Não foi possível rejeitar a solicitação de mensagem do WalletConnect.","translated"
"wc.messageSignedBody","Approved request from {name}.","Solicitação de {name} aprovada.","translated"
"wc.messageSignedTitle","WalletConnect message signed","Mensagem do WalletConnect assinada","translated"
"wc.messageToSign","Message to Sign","Mensagem a assinar","translated"
"wc.nftCapability","NFT Capability","Capacidade do NFT","translated"
"wc.nftCommitment","NFT Commitment","Compromisso do NFT","translated"
"wc.no","No","Não","translated"
"wc.noActiveSessions","No active WalletConnect sessions yet.","Ainda não há sessões ativas do WalletConnect.","translated"
"wc.noQr","No QR code detected. Try again.","Nenhum código QR detectado. Tente novamente.","translated"
"wc.noSessions","No active sessions.","Nenhuma sessão ativa.","translated"
"wc.opReturnOutput","OP_RETURN Output","Saída OP_RETURN","translated"
"wc.outputs","Outputs ({count})","Saídas ({count})","translated"
"wc.pairingStarted","WalletConnect pairing started.","Pareamento do WalletConnect iniciado.","translated"
"wc.pairingSuccessful","WalletConnect pairing successful via QR.","Pareamento do WalletConnect concluído via QR.","translated"
"wc.prompt","Prompt","Solicitação","translated"
"wc.reject","Reject","Rejeitar","translated"
"wc.rejectedBody","Rejected the session request from {name}.","A solicitação de sessão de {name} foi rejeitada.","translated"
"wc.rejectedTitle","WalletConnect session rejected","Sessão do WalletConnect rejeitada","translated"
"wc.rejectionFailedBody","Failed to reject the session request from {name}.","Não foi possível rejeitar a solicitação de sessão de {name}.","translated"
"wc.rejectionFailedTitle","WalletConnect rejection failed","Falha ao rejeitar o WalletConnect","translated"
"wc.rejectionSentBody","Sent the rejection response to the dApp.","Resposta de rejeição enviada ao dApp.","translated"
"wc.rejectionStaleBody","The dApp disconnected before the rejection response could be delivered.","O dApp se desconectou antes que a resposta de rejeição pudesse ser entregue.","translated"
"wc.requestExpiredBody","The dApp request expired before it could be completed.","A solicitação do dApp expirou antes de ser concluída.","translated"
"wc.requestExpiredTitle","WalletConnect request expired","Solicitação do WalletConnect expirada","translated"
"wc.scanFailed","WalletConnect scan failed.","Falha ao escanear o WalletConnect.","translated"
"wc.scanQr","Scan QR","Escanear QR","translated"
"wc.sessionDisconnectedBody","A WalletConnect session was disconnected remotely.","Uma sessão do WalletConnect foi desconectada remotamente.","translated"
"wc.sessionDisconnectedFrom","Disconnected from {name}.","Desconectado de {name}.","translated"
"wc.sessionDisconnectedTitle","WalletConnect session disconnected","Sessão do WalletConnect desconectada","translated"
"wc.sessionRequestExpiredBody","The WalletConnect session request timed out before approval.","A solicitação de sessão do WalletConnect expirou antes da aprovação.","translated"
"wc.sessionRequestExpiredTitle","WalletConnect session request expired","Solicitação de sessão do WalletConnect expirada","translated"
"wc.sessionRequestFrom","Session request from {name}.","Solicitação de sessão de {name}.","translated"
"wc.sessionRequestGeneric","A dApp requested a WalletConnect session.","Um dApp solicitou uma sessão do WalletConnect.","translated"
"wc.sessionRequestTitle","WalletConnect session request","Solicitação de sessão do WalletConnect","translated"
"wc.settings","Settings","Configurações","translated"
"wc.sign","Sign","Assinar","translated"
"wc.signMessageRequest","Sign Message Request","Solicitação de assinatura de mensagem","translated"
"wc.signTransactionRequest","Sign Transaction Request","Solicitação de assinatura de transação","translated"
"wc.tokenCategory","Token Category","Categoria do token","translated"
"wc.totalInput","Total Input","Entrada total","translated"
"wc.totalOutput","Total Output","Saída total","translated"
"wc.transactionApprovedTitle","WalletConnect transaction approved","Transação do WalletConnect aprovada","translated"
"wc.transactionFailedBody","Failed to sign WalletConnect transaction request: {message}","Falha ao assinar a solicitação de transação do WalletConnect: {message}","translated"
"wc.transactionFailedTitle","WalletConnect transaction failed","Falha na transação do WalletConnect","translated"
"wc.transactionRejectedTitle","WalletConnect transaction rejected","Transação do WalletConnect rejeitada","translated"
"wc.transactionRejectionFailedBody","Failed to reject WalletConnect transaction request: {message}","Falha ao rejeitar a solicitação de transação do WalletConnect: {message}","translated"
"wc.transactionResponseSentBody","Sent the WalletConnect transaction response.","Resposta da transação do WalletConnect enviada.","translated"
"wc.transactionSentBody","Sent the transaction response to {name}.","Resposta da transação enviada para {name}.","translated"
"wc.transactionStaleBody","The dApp disconnected before the transaction response could be delivered.","O dApp se desconectou antes que a resposta da transação pudesse ser entregue.","translated"
"wc.txid","TXID","TXID","stable-term"
"wc.unknownDapp","Unknown dApp","dApp desconhecido","translated"
"wc.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","Esta solicitação usa uma representação de transação não compatível com a integração atual do OPTN Wallet.","translated"
"wc.validUri","Please provide a valid WalletConnect URI.","Insira uma URI válida do WalletConnect.","translated"
"wc.waitingForSync","Waiting for sync","Aguardando sincronização","translated"
"wc.waitPrevious","Wait for the previous outgoing transaction to sync first","Aguarde a sincronização da transação de saída anterior","translated"
"wc.working","Working…","Processando…","translated"
"wc.yes","Yes","Sim","translated"
"wizard.activeSessions","Active WizardConnect Sessions","Sessões ativas do WizardConnect","translated"
"wizard.address","Address","Endereço","translated"
"wizard.approve","Approve WizardConnect","Aprovar WizardConnect","translated"
"wizard.approved","WizardConnect transaction approved and sent.","Transação do WizardConnect aprovada e enviada.","translated"
"wizard.approveFailed","WizardConnect transaction failed: {message}","Falha na transação do WizardConnect: {message}","translated"
"wizard.broadcast","Broadcast","Transmitir","translated"
"wizard.cancel","Cancel","Cancelar","translated"
"wizard.close","Close","Fechar","translated"
"wizard.connect","Connect","Conectar","translated"
"wizard.connectedOn","Connected On","Conectado em","translated"
"wizard.connecting","Connecting…","Conectando…","translated"
"wizard.connectionUri","Connection URI","URI de conexão","translated"
"wizard.connectQuestion","Connect this wallet to the following WizardConnect request?","Conectar esta carteira à seguinte solicitação do WizardConnect?","translated"
"wizard.dapp","DApp","dApp","stable-term"
"wizard.disconnect","Disconnect","Desconectar","translated"
"wizard.enterUri","Enter WizardConnect URI","Insira a URI do WizardConnect","translated"
"wizard.errorPrefix","Error: {message}","Erro: {message}","translated"
"wizard.estimatedFee","Estimated Fee","Taxa estimada","translated"
"wizard.fungibleAmount","Fungible Amount","Quantidade fungível","translated"
"wizard.index","Index","Índice","stable-term"
"wizard.invalidQr","Not a valid WizardConnect QR code.","Não é um QR válido do WizardConnect.","translated"
"wizard.no","No","Não","translated"
"wizard.noActiveSessions","No active WizardConnect sessions yet.","Ainda não há sessões ativas do WizardConnect.","translated"
"wizard.noQr","No QR code detected. Try again.","Nenhum código QR detectado. Tente novamente.","translated"
"wizard.noWallet","No active wallet is available for WizardConnect.","Nenhuma carteira ativa está disponível para o WizardConnect.","translated"
"wizard.opReturnOutput","OP_RETURN Output","Saída OP_RETURN","translated"
"wizard.pairingStarted","WizardConnect pairing started.","Pareamento do WizardConnect iniciado.","translated"
"wizard.prompt","Prompt","Solicitação","translated"
"wizard.rejected","WizardConnect transaction rejected.","Transação do WizardConnect rejeitada.","translated"
"wizard.rejectFailed","WizardConnect rejection failed: {message}","Falha ao rejeitar o WizardConnect: {message}","translated"
"wizard.scanFailed","WizardConnect scan failed.","Falha ao escanear o WizardConnect.","translated"
"wizard.sessionDisconnectedOrExpired","A WizardConnect session disconnected or expired on the dApp side.","Uma sessão do WizardConnect foi desconectada ou expirou no lado do dApp.","translated"
"wizard.settings","Settings","Configurações","translated"
"wizard.sign","Sign","Assinar","translated"
"wizard.signRequest","WizardConnect Sign Request","Solicitação de assinatura do WizardConnect","translated"
"wizard.status","Status","Status","stable-term"
"wizard.tokenCategory","Token Category","Categoria do token","translated"
"wizard.totalInput","Total Input","Entrada total","translated"
"wizard.totalOutput","Total Output","Saída total","translated"
"wizard.txid","TXID","TXID","stable-term"
"wizard.unknownDapp","Unknown dApp","dApp desconhecido","translated"
"wizard.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","Esta solicitação usa uma representação de transação não compatível com a integração atual do OPTN Wallet.","translated"
"wizard.validUri","Please provide a valid WizardConnect URI.","Insira uma URI válida do WizardConnect.","translated"
"wizard.yes","Yes","Sim","translated"
